,LGA,Children in Welfare-Dependent and Other Low Income Families - Count,Children in Welfare-Dependent and Other Low Income Families - Total,People Receiving an Unemployment Benefit - Count,People Receiving an Unemployment Benefit - Total,People Receiving an Unemployment Benefit Long-Term - Count ,People Receiving an Unemployment Benefit Long-Term - Total,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Count ,Young People Aged 16 to 24 Receiving an Unemployment Benefit - Total,Welfare-Dependent and Other Low Income Families With Children - Count ,Welfare-Dependent and Other Low Income Families With Children - Total 
Melbourne,Melbourne ,1897.2988674160001,5959.964643100001,1622.767233889,53435.26422373,130.465879188,13109.637030999998,2028.307070074,53435.26421773,970.297368191,10448.52614255
Port Phillip,Port Phillip ,1787.395590944,13653.540375556,2433.563885249,121317.88358341399,206.534120815,20214.333789239,3268.039003586,121317.883564406,1135.200105253,27420.190983919998
Yarra,Yarra ,2578.00000003,10151.5272553,2270.0000000000005,65643.472744,193.999999999,9395.4727438,2920.0,65643.472744,1463.99999997,17047.999999
Banyule,Banyule ,2658.0116227000003,17629.805428,1734.9896994,60696.03208700001,248.99010887,8543.034989,2231.4107016,60696.032088,1470.101372,23831.645919000002
Darebin,Darebin ,4859.0,24733.429543,4172.0,100961.57046299998,431.0,16973.5704545,5280.0,100961.570454,2856.00000003,34296.000001
Hume,Hume ,14640.609728148002,42640.7313204,6804.775539010001,118867.8555881,1107.632828546,24754.10698332,8662.866914805,118867.8555841,7209.874615032999,43106.96124629
Moonee Valley,Moonee Valley ,2724.0951409,20443.110077999998,2158.9058800000003,77520.101647,193.0,10090.9535489,2742.4360963999998,77520.101637,1563.595345,28667.98571
Moreland,Moreland ,5590.3902721,28192.979484,4408.224461,113904.43363099999,549.36717146,18866.6113106,5666.1330852,113904.433632,3034.1253850099997,38572.03876300001
Nillumbik,Nillumbik ,1729.3868638,18254.072584700003,1108.51451681,58777.94028,163.974647894,11439.7546107,1485.54064981,58777.94027200001,997.69365503,23378.5929976
Whittlesea,Whittlesea ,9816.5376892,41985.7378693,4891.76507,126675.22476399998,808.30607229,21959.6936047,6268.757967700001,126675.22476200001,5217.9399555,45655.475490000004
Boroondara,Boroondara ,1410.2388769400002,23965.404818,1158.62294443,91967.08995400001,65.0,12033.076422,1570.4523497800003,91967.089966,931.2633629300001,32291.781323
Knox,Knox ,4819.000000200001,29694.417102,3033.99999995,103895.5829,509.00000004,19853.582896099997,4100.0,103895.58288999999,2786.99999991,41722.999999
Manningham,Manningham ,2393.0,20013.322726,1565.00000002,73858.677271,163.0,14057.677273,2043.0000000000002,73858.677279,1463.00000001,31914.000001
Maroondah,Maroondah ,3534.0,21447.643362,2335.0,71092.356632,358.0,12903.356639,3064.0,71092.356642,2031.0,28179.0
Whitehorse,Whitehorse ,3389.7611229000004,32383.995996999998,2451.3770555,115969.50921799999,250.0,18936.07974,3223.5476502,115969.50922400001,2113.7366369799997,44513.218675
Yarra Ranges,Yarra Ranges ,4203.5687286,25685.312681000003,2392.6414144,82014.766307,418.32799151,15505.5908916,3172.4236720000004,82014.766305,2379.4265855999997,33431.365591999995
Bayside,Bayside ,1048.0,17835.540215,679.0,53490.459766,28.0,4355.594872,878.0,53490.459777,617.0,21943.000001
Cardinia,Cardinia ,4271.0,20724.476318,1757.0,54214.523678,388.99999998,10312.5236788,2448.0,54214.523692999996,2239.0,20215.000001
Casey,Casey ,14541.000000400001,65990.736721,6980.00000002,182963.26330100003,1409.0000000100003,35688.263285199995,9330.0000001,182963.26329799998,7501.000000000001,68463.00000199999
Greater Dandenong,Greater Dandenong ,9837.9999997,28228.87953,6304.0,97520.12046500001,877.0000000299999,18396.1204702,8074.000000499998,97520.12048399998,5335.0,35636.999999
Frankston,Frankston ,7424.9999996999995,26782.796757999997,4323.0,87879.20323600002,884.0,16020.203241,5695.0,87879.203245,4221.0,34033.000002
Glen Eira,Glen Eira ,2225.9999999999995,26928.506966999998,1664.0,93590.49303700001,162.00000000000003,14020.324453000001,2290.0,93590.49303499999,1347.0,33791.99999800001
Kingston,Kingston ,4329.000000076,30359.856054552994,2632.9999999280003,105491.14394294801,334.0,16238.790038194002,3621.0000001149997,105491.143954933,2605.000000162,41413.000003206995
Monash,Monash ,3934.0,30132.010836999998,2491.0,120744.98917299998,275.0,26271.109615,3374.0,120744.989171,2400.0,45434.999999
Mornington Peninsula,Mornington Peninsula ,5240.0,26406.44097,3014.99999997,79588.559017,537.0000000040001,12221.6504818,3934.0,79588.559018,3026.9999999700003,34985.0
Stonnington,Stonnington ,1092.21040081,18159.7331091,1374.7630009700001,90035.40234700001,101.0,10422.295873,1898.21782996,90035.402374,721.90718151,27850.297166
Brimbank,Brimbank ,13163.9999995,38984.626305,9175.0000001,132399.37369200002,1081.00000007,24511.707025,11204.999999200001,132399.37367400003,7043.0,48726.000005999995
Hobsons Bay,Hobsons Bay ,3452.0,17339.945530999998,2479.0,60731.054468,326.0,9196.9500722,3164.0,60731.054468,1901.0,22721.000002
Maribyrnong,Maribyrnong ,3206.0,13770.767636999999,3030.0000000000005,57803.232347000005,336.0,9662.23236,3819.0,57803.23236,1842.0000000000002,17620.000002
Melton,Melton ,8284.000000799999,32821.3393048,3506.0,81152.940618,743.99999996,14442.940616,4527.0,81152.940618,4316.0,28917.999994399997
Wyndham,Wyndham ,11436.000000600001,47323.027059,5189.0,127699.972945,1053.00000008,21873.972948,6780.0,127699.972943,5776.0,43464.000004
