,LGA(income level),Negative/0,$1-$199,$200-$299,$300-$399,$400-$599,$600-$799,$800-$999,"$1,000-$1,249","$1,250-$1,499","$1,500-$1,999","$2,000+",Not Stated,Total
0,Banyule ,7990.0,7735.0,9003.0,8965.0,11057.0,9409.0,8163.0,8381.0,6335.0,7421.0,6759.0,6015.0,97233.0
1,Bayside ,6632.0,5496.0,4738.0,5442.0,7084.0,5910.0,4941.0,5490.0,4310.0,5864.0,12245.0,5663.0,73815.0
2,Boroondara ,13985.0,10266.0,8180.0,8591.0,11574.0,10316.0,9503.0,10405.0,8103.0,10861.0,21296.0,8336.0,131416.0
3,Brimbank ,15800.0,12952.0,21174.0,14632.0,15950.0,16393.0,12435.0,10309.0,5937.0,5131.0,3034.0,14184.0,147931.0
4,Casey ,20040.0,16246.0,18821.0,16675.0,21573.0,24286.0,19699.0,17405.0,10537.0,9550.0,5942.0,13012.0,193786.0
5,Darebin ,9694.0,8246.0,13983.0,11985.0,12350.0,11039.0,9015.0,9110.0,6297.0,6776.0,5974.0,9759.0,114228.0
6,Frankston ,7530.0,7722.0,10289.0,10803.0,12697.0,11977.0,10003.0,9020.0,5588.0,5255.0,3248.0,8012.0,102144.0
7,Glen Eira ,10182.0,7513.0,8306.0,8757.0,11131.0,9911.0,8657.0,8865.0,6932.0,8432.0,11002.0,7683.0,107371.0
8,Greater Dandenong ,13151.0,9584.0,16230.0,12151.0,13496.0,13689.0,9084.0,6561.0,3490.0,2702.0,1363.0,9480.0,110981.0
9,Hobsons Bay ,5937.0,5099.0,7456.0,6710.0,6985.0,6579.0,5616.0,5496.0,4027.0,4647.0,4606.0,5500.0,68658.0
10,Hume ,12789.0,12175.0,16547.0,12262.0,14367.0,14252.0,11356.0,10011.0,6126.0,5599.0,3224.0,10771.0,129479.0
11,Kingston ,9687.0,8884.0,11110.0,11469.0,13390.0,12341.0,10142.0,10040.0,7056.0,7944.0,6817.0,8444.0,117324.0
12,Knox ,10775.0,10592.0,10981.0,10994.0,14074.0,13550.0,11697.0,11036.0,7436.0,7911.0,5661.0,6948.0,121655.0
13,Manningham ,10012.0,8027.0,8878.0,8017.0,10366.0,8865.0,7104.0,7086.0,5281.0,6397.0,7704.0,5295.0,93032.0
14,Maribyrnong ,5493.0,4254.0,6542.0,5439.0,5753.0,5700.0,4754.0,4715.0,3511.0,4073.0,3469.0,6066.0,59769.0
15,Maroondah ,6147.0,6945.0,7406.0,8261.0,10253.0,9266.0,7704.0,7733.0,5250.0,5763.0,4304.0,5314.0,84346.0
16,Melbourne ,13165.0,5212.0,5515.0,4600.0,6106.0,6293.0,6092.0,7326.0,5888.0,6945.0,9061.0,10778.0,86981.0
17,Monash ,18116.0,12093.0,14357.0,12971.0,15643.0,13532.0,11003.0,10624.0,7624.0,9123.0,8868.0,8982.0,142936.0
18,Moonee Valley ,7094.0,6603.0,9147.0,8305.0,8930.0,8094.0,7140.0,7554.0,5613.0,6735.0,7197.0,6777.0,89189.0
19,Moreland ,9887.0,8560.0,15041.0,12693.0,13445.0,11976.0,9872.0,10017.0,7436.0,7791.0,6081.0,10588.0,123387.0
20,Mornington Peninsula ,7996.0,8744.0,12489.0,13528.0,16482.0,12875.0,9267.0,8685.0,5847.0,6599.0,5810.0,9737.0,118059.0
21,Port Phillip ,4660.0,3175.0,4809.0,5059.0,6040.0,6516.0,6906.0,8120.0,6682.0,8576.0,12810.0,7973.0,81326.0
22,Stonnington ,6777.0,4335.0,4922.0,4894.0,6171.0,6498.0,6405.0,7146.0,5908.0,7326.0,13362.0,7224.0,80968.0
23,Whitehorse ,13472.0,10550.0,11731.0,11593.0,13966.0,11711.0,9638.0,9521.0,6989.0,8850.0,9220.0,7956.0,125197.0
24,Whittlesea ,12222.0,10360.0,15017.0,10907.0,13669.0,14215.0,11713.0,10292.0,6313.0,5665.0,2953.0,9334.0,122660.0
25,Wyndham ,12881.0,9734.0,10499.0,8827.0,12408.0,13800.0,12504.0,11888.0,7828.0,7865.0,5334.0,9686.0,123254.0
26,Yarra ,3401.0,3390.0,5618.0,4923.0,5387.0,5238.0,5260.0,6238.0,5133.0,6463.0,8364.0,5917.0,65332.0
